bucket,confidence,cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,due_plus_30_grace,initial_matrix_status,initial_matrix_publication_date,initial_matrix_source,current_review_status,current_evidence_url,current_evidence_type,current_evidence_excerpt,committed_current_sec_status,committed_current_sec_found_date,committed_current_sec_found_url,committed_wayback_status,committed_wayback_found_date,committed_wayback_found_url,committed_fts_status,review_reason,review_notes
no_release_found_after_checks,medium,1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,2022-10-14,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Web search for exact company name plus Board Diversity Matrix returned third-party/other-company references, not Sportradar own matrix."
no_release_found_after_checks,medium,1841675,ARBK,Argo Blockchain Plc,2021-09-23,2022-09-23,2022-10-23,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Web search for exact company name plus Board Diversity Matrix returned third-party/competitor references, not Argo own matrix."
no_release_found_after_checks,medium,1804469,GFAI,"Guardforce AI Co., Ltd.",2021-09-30,2022-09-30,2022-10-30,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",Web search returned Guardforce proxy/IR pages but opened PDF did not contain Board Diversity Matrix evidence.
no_release_found_after_checks,medium,1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,2022-11-05,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Web search for Empery/Volcon plus Board Diversity Matrix returned generic/non-company results, no substantive matrix."
no_release_found_after_checks,medium,1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,2022-11-12,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Web search returned OutLeadership aggregate mention for Bone Biologics, not a company primary-source matrix."
no_release_found_after_checks,medium,1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,2022-11-26,not_located,,,searched_no_substantive_matrix,,,,,,,found,2022-10-27,https://web.archive.org/web/20221027/https://ir.marpaihealth.com/governance,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Browser checked Marpai direct matrix guesses; /board-diversity-matrix returned 404 and index.php?s=124 was fundamentals, no matrix."
no_release_found_after_checks,medium,1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,2022-11-27,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Web search for GLOBALFOUNDRIES plus Board Diversity Matrix returned Nasdaq examples/other-company references, not GFS own matrix."
no_release_found_after_checks,medium,1831283,LIANY,LianBio,2021-11-01,2022-11-01,2022-12-01,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Web search for LianBio plus Board Diversity Matrix returned other-company references and aggregate/third-party mentions, not a primary LianBio matrix."
no_release_found_after_checks,medium,1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,2022-12-05,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",Web search for Real Good Food Company plus Board Diversity Matrix returned governance/S-1 pages without substantive matrix evidence.
no_release_found_after_checks,medium,1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,2022-12-17,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.",Web search for Sono Group N.V. plus Board Diversity Matrix did not return primary own-company matrix evidence.
no_release_found_after_checks,medium,1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,2022-12-19,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Web search for Frontier Nuclear/Snow Lake plus Board Diversity Matrix returned governance/news pages, no substantive matrix evidence."
no_release_found_after_checks,medium,1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,2022-12-23,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Web search for Imperial Petroleum plus Board Diversity Matrix returned C3is/third-party references and aggregate sources, not Imperial own matrix."
